Mun_Code;Municipality;Comarca;Province;CCAA;Population_2024;Area_km2;Distance_km;Distance_class;Growth_2018_2021_pct;Growth_2021_2024_pct
03036;Benillup;MONTAÑA;Alacant/Alicante;Comunitat Valenciana;109.0;3.38;14.45;<=30 km;7.45;7.92
43074;Llorenç del Penedès;BAIX PENEDES;Tarragona;Cataluña/Catalunya;2431.0;4.69;14.47;<=30 km;2.32;2.1
37322;Terradillos;ALBA DE TORMES;Salamanca;Castilla y León;3220.0;33.16;14.47;<=30 km;1.47;4.01
20014;Asteasu;TOLOSA;Gipuzkoa;País Vasco/Euskadi;1575.0;16.75;14.47;<=30 km;1.04;1.68
33039;Muros de Nalón;GRADO;Asturias;Principado de Asturias;1942.0;8.28;14.52;<=30 km;4.06;1.09
09109;Condado de Treviño;BUREBA-EBRO;Burgos;Castilla y León;1489.0;260.15;14.55;<=30 km;4.73;5.16
26002;Agoncillo;RIOJA MEDIA;La Rioja;La Rioja;1314.0;34.87;14.56;<=30 km;4.34;13.96
40173;Roda de Eresma;CUELLAR;Segovia;Castilla y León;253.0;9.96;14.57;<=30 km;8.65;25.87
07007;Banyalbufar;MALLORCA;Illes Balears;Illes Balears;577.0;18.12;14.6;<=30 km;7.75;6.46
01001;Alegría-Dulantzi;LLANADA ALAVESA;Araba/Álava;País Vasco/Euskadi;2971.0;19.93;14.63;<=30 km;1.32;1.57
46176;Montroi/Montroy;HOYA DE BUÑOL;València/Valencia;Comunitat Valenciana;3477.0;31.4;14.66;<=30 km;8.75;13.29
39048;Penagos;COSTERA;Cantabria;Cantabria;2254.0;31.65;14.66;<=30 km;2.85;3.97
43009;Alforja;BAIX CAMP;Tarragona;Cataluña/Catalunya;2019.0;38.45;14.74;<=30 km;3.08;9.55
19297;Valdarachas;CAMPIÑA;Guadalajara;Castilla-La Mancha;55.0;9.69;14.74;<=30 km;22.86;27.91
50066;Cadrete;ZARAGOZA;Zaragoza;Aragón;4639.0;11.9;14.74;<=30 km;11.39;7.04
20031;Elduain;TOLOSA;Gipuzkoa;País Vasco/Euskadi;250.0;25.05;14.75;<=30 km;2.09;2.46
