Mun_Code;Municipality;Population_2024;Distance_to_50k_city_km;Distance_class;Var_2011_2017_pct;Var_2018_2021_pct;Var_2021_2024_pct;Municipality_size;Comarca;Province;CCAA
50215;Pozuel de Ariza;24,0;106,64;>60 km;9,52;-19,05;41,18;<1,000 (very small rural);CALATAYUD;Zaragoza;Aragón
44250;Veguillas de la Sierra;24,0;49,95;30-60 km;-24,0;5,0;14,29;<1,000 (very small rural);SERRANIA DE ALBARRACIN;Teruel;Aragón
09076;Carrias;24,0;34,85;30-60 km;-3,85;0,0;-4,0;<1,000 (very small rural);BUREBA-EBRO;Burgos;Castilla y León
44208;Santa Cruz de Nogueras;24,0;63,81;>60 km;-5,0;-18,92;-20,0;<1,000 (very small rural);SERRANIA DE MONTALBAN;Teruel;Aragón
19081;Cendejas de la Torre;24,0;46,89;30-60 km;-36,59;0,0;0,0;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
26126;Robres del Castillo;24,0;26,79;<=30 km;0,0;-10,34;-7,69;<1,000 (very small rural);SIERRA RIOJA BAJA;La Rioja;La Rioja
19050;Barriopedro;24,0;38,65;30-60 km;-26,09;6,25;41,18;<1,000 (very small rural);ALCARRIA ALTA;Guadalajara;Castilla-La Mancha
42015;Alentisque;24,0;110,44;>60 km;-5,71;-21,21;-7,69;<1,000 (very small rural);ALMAZAN;Soria;Castilla y León
40051;Castroserracín;24,0;63,67;>60 km;-19,35;0,0;-46,67;<1,000 (very small rural);SEPULVEDA;Segovia;Castilla y León
50214;Pomer;24,0;76,31;>60 km;-25,0;13,64;-4,0;<1,000 (very small rural);CALATAYUD;Zaragoza;Aragón
44133;Lanzuela;24,0;67,24;>60 km;0,0;4,17;-4,0;<1,000 (very small rural);SERRANIA DE MONTALBAN;Teruel;Aragón
40154;Pajarejos;24,0;72,58;>60 km;-50,0;75,0;14,29;<1,000 (very small rural);SEPULVEDA;Segovia;Castilla y León
34241;Villodre;24,0;36,56;30-60 km;-15,0;0,0;41,18;<1,000 (very small rural);CAMPOS;Palencia;Castilla y León
42070;Cubilla;24,0;90,16;>60 km;-27,66;-22,86;-11,11;<1,000 (very small rural);PINARES;Soria;Castilla y León
40015;Aldehuela del Codonal;24,0;35,38;30-60 km;-15,62;-4,0;0,0;<1,000 (very small rural);CUELLAR;Segovia;Castilla y León
19306;Valderrebollo;25,0;41,64;30-60 km;-59,26;13,64;0,0;<1,000 (very small rural);ALCARRIA ALTA;Guadalajara;Castilla-La Mancha
22106;Fago;25,0;63,86;>60 km;-10,0;-8,7;19,05;<1,000 (very small rural);JACETANIA;Huesca;Aragón
26113;Pazuengos;25,0;42,68;30-60 km;-2,86;-16,13;-3,85;<1,000 (very small rural);SIERRA RIOJA ALTA;La Rioja;La Rioja
16079;Cueva del Hierro;25,0;41,1;30-60 km;-17,07;20,69;-28,57;<1,000 (very small rural);SERRANIA ALTA;Cuenca;Castilla-La Mancha
40037;Calabazas de Fuentidueña;25,0;62,37;>60 km;-14,63;-10,0;-7,41;<1,000 (very small rural);SEPULVEDA;Segovia;Castilla y León
40144;Navares de las Cuevas;25,0;67,18;>60 km;17,39;-12,0;13,64;<1,000 (very small rural);SEPULVEDA;Segovia;Castilla y León
16013;Algarra;25,0;50,92;30-60 km;8,0;-4,0;4,17;<1,000 (very small rural);SERRANIA BAJA;Cuenca;Castilla-La Mancha
42100;Hinojosa del Campo;25,0;85,75;>60 km;6,45;-9,68;-10,71;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
19129;Gascueña de Bornova;25,0;57,32;30-60 km;-52,24;6,9;-19,35;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
42031;Barcones;25,0;78,35;>60 km;-31,25;-8,7;19,05;<1,000 (very small rural);ALMAZAN;Soria;Castilla y León
44020;Alpeñés;26,0;98,29;>60 km;-11,54;-9,09;30,0;<1,000 (very small rural);SERRANIA DE MONTALBAN;Teruel;Aragón
09052;Berzosa de Bureba;26,0;45,45;30-60 km;-28,57;-6,9;-3,7;<1,000 (very small rural);BUREBA-EBRO;Burgos;Castilla y León
37045;La Bastida;26,0;52,03;30-60 km;-3,57;23,08;-18,75;<1,000 (very small rural);LA SIERRA;Salamanca;Castilla y León
