Mun_Code,Mun,pop_1996_2022 (k=26),pop_1998_2024 (k=26)
12018,Azuébar,-15.2,0.2849002849002849
12020,Barracas,8.187134502923977,17.46987951807229
12021,Betxí,5.734292202876609,5.2314640572073765
12022,Bejís,6.7934782608695645,10.497237569060774
12024,Benafer,11.76470588235294,14.864864864864865
12025,Benafigos,-42.857142857142854,-42.201834862385326
12026,Benassal,-25.97864768683274,-25.70621468926554
12027,Benicarló,44.469291174788076,53.007751937984494
12028,Benicàssim/Benicasim,96.7820034298396,89.88974023547
12029,Benlloc,24.65753424657534,29.200463499420625
12031,Borriol,83.73282198785554,81.02923264311815
12032,Borriana/Burriana,33.6042119720728,41.49902287619266
12033,Cabanes,30.245346869712353,40.02535925612848
12034,Càlig,12.175873731679818,16.695156695156697
12036,Canet lo Roig,-27.194860813704498,-23.522975929978116
12037,Castell de Cabres,-16.666666666666664,0.0
12038,Castellfort,-23.26530612244898,-19.148936170212767
12039,Castellnovo,-13.886210221793634,-13.840155945419102
12040,Castelló de la Plana,26.61774565494478,30.955198524767496
12041,Castillo de Villamalefa,-18.248175182481752,-13.076923076923078
12042,Catí,-22.039473684210524,-15.27313266443701
12043,Caudiel,-5.337078651685393,2.1216407355021216
12044,Cervera del Maestre,-20.509383378016086,-11.917808219178081
12045,Cinctorres,-30.287648054145517,-19.782214156079856
12046,Cirat,-25.165562913907287,-23.843416370106763
12048,Cortes de Arenoso,-28.710462287104622,-24.146341463414632
12049,Costur,13.304721030042918,14.072494669509595
12050,"Coves de Vinromà, les",-3.5541195476575123,-0.05359056806002144
12051,Culla,-40.87677725118483,-39.21085080147966
12052,Xert,-27.611940298507463,-25.43478260869565
12053,Chilches/Xilxes,28.42960288808664,39.24392439243925
12055,Xodos/Chodos,-25.465838509316768,-27.044025157232703
12056,Chóvar,-23.618090452261306,-20.610687022900763
12057,Eslida,-4.258064516129032,2.4804177545691903
12058,Espadilla,8.235294117647058,14.102564102564102
12059,Fanzara,0.3546099290780142,10.408921933085502
12060,Figueroles,-6.83453237410072,-5.474452554744526
12061,Forcall,-16.064981949458485,-11.666666666666666
12063,Fuente la Reina,81.25,103.44827586206897
12064,Fuentes de Ayódar,-3.061224489795918,-9.523809523809524
12065,Gaibiel,-7.373271889400922,-2.9268292682926833
12066,Gatova,,
12067,Geldo,-8.142857142857144,-7.528409090909091
12068,Herbers,-45.21739130434783,-34.90566037735849
12069,Higueras,0.0,12.195121951219512
12070,"Jana, la",-21.108490566037734,-16.403402187120292
12071,Jérica,4.022627278441232,9.6569250317662
12072,Llucena/Lucena del Cid,-18.661755678330262,-10.183428209993675
12073,Ludiente,-40.42553191489361,-24.568965517241377
12074,"Llosa, la",3.4151547491995733,11.802575107296137
12075,"Mata de Morella, la",-13.942307692307693,-6.122448979591836
12076,Matet,-48.34437086092716,-34.53237410071942
12077,Moncofa,103.26869806094183,115.11815252416757
12078,Montán,8.38150289017341,23.823529411764703
12079,Montanejos,36.88118811881188,57.59803921568627
12080,Morella,-11.512334644261708,-8.275101140125047
12081,Navajas,61.36363636363637,66.53543307086615
