Mun_Code,Mun,pop_1996_2021 (k=25),pop_1998_2023 (k=25),pop_1999_2024 (k=25)
17175,Sant Miquel de Fluvià,31.07638888888889,54.54545454545454,39.13764510779436
17176,Sant Mori,10.56338028169014,20.13888888888889,5.844155844155844
17177,Sant Pau de Segúries,11.882716049382717,12.5948406676783,11.384615384615385
17178,Sant Pere Pescador,56.616541353383454,53.87962291515591,62.745098039215684
17180,Santa Coloma de Farners,60.149928605425984,58.64556667442402,57.067280046003454
17181,Santa Cristina d'Aro,121.36717151043798,113.73584905660377,114.87179487179486
17182,Santa Llogaia d'Àlguema,25.581395348837212,25.245901639344265,33.22147651006711
17183,Sant Aniol de Finestres,40.63745019920319,45.0199203187251,38.28996282527881
17184,Santa Pau,9.688581314878892,11.602209944751381,7.328447701532312
17185,Sant Joan les Fonts,11.11111111111111,11.127115592365861,12.108108108108109
17186,Sarrià de Ter,72.5263852242744,69.70372730168843,61.09949208246191
17187,"Saus, Camallera i Llampaies",23.044096728307252,26.744186046511626,27.92022792022792
17188,"Selva de Mar, La",16.483516483516482,16.93121693121693,15.18324607329843
17189,"Cellera de Ter, La",-2.999016715830875,-0.3467062902426944,-0.6903353057199211
17190,Serinyà,47.29381443298969,46.396965865992414,45.742092457420924
17191,Serra de Daró,35.05747126436782,31.666666666666664,27.22222222222222
17192,Setcases,15.625,17.088607594936708,19.375
17193,Sils,133.0763582966226,132.58426966292134,132.04419889502762
17194,Susqueda,13.793103448275861,8.98876404494382,5.434782608695652
17195,"Tallada d'Empordà, La",42.50764525993883,45.70552147239264,44.84848484848485
17196,Terrades,73.95833333333334,89.07103825136612,86.48648648648648
17197,Torrent,-9.090909090909092,-1.7341040462427744,3.592814371257485
17198,Torroella de Fluvià,129.74683544303798,156.0,149.83818770226537
17199,Torroella de Montgrí,55.61739580636811,54.06483790523691,51.49425287356322
17200,Tortellà,19.472913616398245,15.937940761636108,18.794835007173603
17201,Toses,28.05755395683453,34.04255319148936,37.410071942446045
17202,Tossa de Mar,53.90604723592006,54.53187250996015,52.466585662211415
17203,Ultramort,20.212765957446805,15.463917525773196,10.880829015544041
17204,Ullà,48.284625158831,48.567870485678704,54.69543147208121
17205,Ullastret,6.172839506172839,7.4074074074074066,6.122448979591836
17206,Urús,48.93617021276596,30.061349693251532,15.64245810055866
17207,"Vall d'en Bas, La",22.54130605822187,27.06917233106757,26.93217665615142
17208,"Vall de Bianya, La",22.21189591078067,20.106288751107172,19.363395225464192
17209,Vall-llobrega,211.1864406779661,180.2469135802469,153.07262569832403
17210,Ventalló,67.09323583180988,58.14360770577933,47.02970297029702
17211,Verges,8.53211009174312,3.3717834960070983,5.41740674955595
17212,Vidrà,8.13953488372093,9.202453987730062,3.048780487804878
17213,Vidreres,97.14285714285714,93.84007438400744,90.19826241924704
17214,Vilabertran,21.88679245283019,28.387096774193548,23.462986198243414
17215,Vilablareix,143.7641723356009,128.72964169381106,127.50301568154403
17216,Viladasens,17.582417582417584,15.025906735751295,13.368983957219251
17217,Viladamat,17.45635910224439,19.607843137254903,21.782178217821784
17218,Vilademuls,11.18508655126498,14.402173913043478,16.397849462365592
17220,Viladrau,27.25173210161663,31.59117305458769,36.915887850467286
17221,Vilafant,58.06172483415056,55.17051705170517,48.82629107981221
17222,Vilaür,38.46153846153847,45.21739130434783,47.82608695652174
17223,Vilajuïga,31.308411214953267,28.97091722595078,27.5974025974026
17224,Vilallonga de Ter,-7.211538461538461,-5.673758865248227,-7.494145199063232
17225,Vilamacolum,47.22222222222222,54.0650406504065,47.45098039215686
17226,Vilamalla,90.42904290429043,93.17073170731707,74.53505007153076
17227,Vilamaniscle,60.15625,60.97560975609756,67.5
17228,Vilanant,47.23247232472325,40.0,35.35353535353536
17230,Vila-sacra,116.8091168091168,128.19767441860466,123.4159779614325
17232,Vilopriu,42.857142857142854,26.582278481012654,16.86046511627907
17233,Vilobí d'Onyar,54.6006539000467,52.25267069205759,51.92483959670028
17234,Biure,9.417040358744394,13.744075829383887,2.293577981651376
17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",20.74613284804368,23.52941176470588,20.81818181818182
17902,Forallac,4.5927740355174524,6.699147381242387,7.030303030303029
17903,Sant Julià del Llor i Bonmatí,43.7636761487965,46.91891891891892,46.375266524520256
18001,Agrón,-42.04545454545455,-43.76470588235294,-41.204819277108435
18002,Alamedilla,-43.992055610724925,-41.028331584470095,-42.661034846884895
18003,Albolote,53.57687675632277,53.42314661624518,51.64911737379994
18004,Albondón,-39.42953020134228,-30.660377358490564,-32.83018867924528
18005,Albuñán,-20.825147347740668,-13.786008230452676,-11.715481171548117
18006,Albuñol,34.261588214157385,34.82305727836556,32.63025058590229
18007,Albuñuelas,-40.85778781038375,-37.59936406995231,-36.429143314651725
18010,Aldeire,-20.939086294416242,-24.714828897338403,-24.681933842239186
18011,Alfacar,30.53906435526003,33.6780258519389,33.487191322409416
18012,Algarinejo,-54.161187300394516,-54.5264756120706,-55.65052231718899
18013,Alhama de Granada,-5.2816312886511785,-4.054971157108924,-4.668014829794405
18014,Alhendín,135.5490625760896,145.75414962713495,146.24674402083826
18015,Alicún de Ortega,-40.229885057471265,-38.101788170563964,-36.8567454798331
18016,Almegíjar,-23.25581395348837,-22.093023255813954,-22.61904761904762
18017,Almuñécar,20.575633383010434,30.042387007667763,29.008030231459614
18018,Alquife,-44.89194499017682,-39.604989604989605,-40.10752688172043
18020,Arenas del Rey,-69.7820823244552,-69.57593688362918,-70.1419481155164
18021,Armilla,89.65704953728905,89.68284005752781,85.35677805340727
18022,Atarfe,82.55990871053632,91.1234131907989,82.3083778966132
18023,Baza,-1.953106115542664,2.316909461542286,-3.627671541057368
18024,Beas de Granada,-2.6812313803376364,3.441084462982273,1.9191919191919191
18025,Beas de Guadix,-18.639798488664987,-19.02313624678663,-17.708333333333336
18027,Benalúa,-2.025618111408996,-0.44923629829290207,0.36068530207394045
18028,Benalúa de las Villas,-23.672883787661405,-25.308194343727337,-30.685675492192804
18029,Benamaurel,-8.895093737534902,-7.445495680789799,-7.190082644628099
18030,Bérchules,-17.91044776119403,-14.603960396039604,-14.619164619164618
18032,Bubión,-18.06615776081425,-17.819148936170212,-16.397849462365592
18033,Busquístar,-24.33862433862434,-8.595988538681947,-16.756756756756758
18034,Cacín,-33.532934131736525,-35.731707317073166,-35.76555023923445
18035,Cádiar,-14.937286202964653,-9.630064591896653,-8.06060606060606
18036,Cájar,90.10115606936417,92.60961810466762,69.34936786925687
18037,Calicasas,3.205128205128205,7.973421926910299,9.84974958263773
18038,Campotéjar,-14.722222222222223,-13.911845730027547,-13.959917069799586
18039,Caniles,-23.854422025268715,-23.573103987490228,-23.651290070367477
18040,Cáñar,23.56687898089172,30.16393442622951,19.692307692307693
18042,Capileira,1.3986013986013985,3.9285714285714284,2.857142857142857
18043,Carataunas,-1.477832512315271,22.5130890052356,19.473684210526315
18044,Cástaras,-26.82926829268293,-28.662420382165603,-32.25806451612903
18045,Castilléjar,-39.24528301886793,-39.0728476821192,-30.66164604626143
18046,Castril,-34.202804043038796,-30.0561797752809,-36.37245392822502
18047,Cenes de la Vega,104.21867199201198,82.30343300110742,64.50525480864565
18048,Cijuela,132.2408026755853,138.34537097833223,144.0210249671485
18049,Cogollos de Guadix,-21.052631578947366,-14.322916666666666,-17.441860465116278
18050,Cogollos de la Vega,-0.9828009828009828,2.178217821782178,3.1683168316831685
18051,Colomera,-24.004683840749415,-23.75886524822695,-23.197115384615387
18053,Cortes de Baza,-38.868911408957175,-34.53887884267631,-37.872487872487866
18054,Cortes y Graena,-3.508771929824561,-3.5538005923000986,-5.571847507331378
18056,Cúllar,-21.99273283610633,-21.918077983458055,-22.489168964159116
18057,Cúllar Vega,190.625,152.27272727272728,146.26300851466414
18059,Chauchina,41.698160745779795,39.945786101527844,39.70517158047366
18061,Chimeneas,-19.690122659780503,-19.45348080676643,-19.1932335718933
18062,Churriana de la Vega,143.74419324868379,155.55555555555557,150.30739241265556
18063,Darro,0.4914004914004914,9.007232084155161,11.07470511140236
18064,Dehesas de Guadix,-42.215988779803645,-43.0835734870317,-43.59351988217968
18065,Dehesas Viejas,,,
18066,Deifontes,3.3871602993304455,8.654244306418219,8.16831683168317
18067,Diezma,-20.897043832823652,-15.44973544973545,-13.921360255047821
18068,Dílar,37.42765273311897,49.83454665784249,53.576158940397356
18069,Dólar,-1.2403100775193798,-2.9548989113530326,-3.6565977742448332
18070,Dúdar,25.259515570934255,27.7027027027027,27.73972602739726
